"YEAR" "TRIAL" "LOCATION" "TRIAL_ID" "YEAR_LOCATION" "BLOCK" "LINE_ID" "YIELD" "GERMPLASM_TYPE" "GENOTYPE_FILE"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_5306" 5741.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_10396" 7029.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-6" "UEPL" "1998_E2-6_UEPL" "1998-UEPL" "3" "GID_20053" 6887.5 "Tropical Japonica" "JAP"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "1" "GID_9411" 3704.16666666667 "Indica" "IND"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "1" "GID_10396" 5483.33333333333 "Tropical Japonica" "JAP"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "2" "GID_9411" 3841.66666666667 "Indica" "IND"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "2" "GID_10396" 5691.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "3" "GID_9411" 3416.66666666667 "Indica" "IND"
"1998" "E2-7" "UEPL" "1998_E2-7_UEPL" "1998-UEPL" "3" "GID_10396" 5154.16666666667 "Tropical Japonica" "JAP"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "1" "GID_9411" 4037.5 "Indica" "IND"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "1" "GID_10396" 4866.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "2" "GID_9411" 4837.5 "Indica" "IND"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "2" "GID_9411" 4287.5 "Indica" "IND"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "2" "GID_10396" 5020.83333333333 "Tropical Japonica" "JAP"
"1998" "E2-8" "UEPL" "1998_E2-8_UEPL" "1998-UEPL" "2" "GID_10396" 5041.66666666667 "Tropical Japonica" "JAP"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "1" "GID_9411" 3800 "Indica" "IND"
"1998" "E2-9" "UEPL" "1998_E2-9_UEPL" "1998-UEPL" "1" "GID_10396" 4733.33333333333 "Tropical Japonica" "JAP"
